ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE,
1279,W,EARLY,305,3008,84,SILVER MAPLE,27,3,81,,
1276,W,EARLY,305,3009,118,SILVER MAPLE,38,3,114,,
1275,W,EARLY,305,3008,90,SILVER MAPLE,29,3,87,,
1272,W,EARLY,305,3009,82,SILVER MAPLE,26,3,78,,
1264,W,EARLY,305,3009,92,HONEY LOCUST,29,3,87,,
1269,W,EARLY,305,3008,86,HONEY LOCUST,27,3,81,,
1261,W,EARLY,305,3008,86,HONEY LOCUST,27,3,81,,
1258,W,EARLY,305,3009,94,LINDEN,30,3,90,,
1256,W,EARLY,305,3009,81,SILVER MAPLE,26,3,78,,
1252,W,EARLY,305,3009,75,HONEY LOCUST,24,3,72,,
1248,W,EARLY,305,3009,117,SILVER MAPLE,37,3,111,,
1245,W,EARLY,305,3008,88,SILVER MAPLE,28,3,84,,
1239,W,EARLY,305,3008,69,HONEY LOCUST,22,3,66,,
1214,W,EARLY,305,3010,70,HONEY LOCUST,22,3,66,,
1214,W,EARLY,305,3010,56,WHITE ASH,18,5,90,,
5825,N,GLENWOOD,305,3004,75,NORTHERN CATALPA,24,2,48,,
5814,N,GLENWOOD,305,2008,90,HONEY LOCUST,29,3,87,,
5830,N,GLENWOOD,305,2008,92,HONEY LOCUST,29,3,87,,
5840,N,GLENWOOD,305,2008,67,AMERICAN ELM,21,4,84,,
BROKEN! NEEDS FIXING: 0,W,INVALID,,,46,WHITE OAK,15,5,75,NW CORNER HOLLYWOOD & RIDGE,HOLLYWOOD (GATEWAY GARDEN)
BROKEN! NEEDS FIXING: 0,W,INVALID,,,69,WHITE OAK,22,5,110,NEXT TO DYING OAK,HOLLYWOOD (GATEWAY GARDEN)
BROKEN! NEEDS FIXING: 0,W,INVALID,,,70,WHITE OAK,22,5,110,DYING TREE BEHIND WELCOME SIGN,HOLLYWOOD (GATEWAY GARDEN)
BROKEN! NEEDS FIXING: 0,W,INVALID,,,44,FIELD MAPLE,14,4,56,NEXT TREE EAST,HOLLYWOOD (GATEWAY GARDEN)
5843,N,MAGNOLIA,305,1009,112,TREE OF HEN,36,2,72,,
5835,N,MAGNOLIA,305,1009,102,SILVER MAPLE,32,3,96,,
5827,N,MAGNOLIA,305,1009,55,NORWAY MAPLE,18,4.5,81,,
5823,N,MAGNOLIA,305,1009,48,NORWAY MAPLE,15,4.5,68,,
5815,N,MAGNOLIA,305,1009,93,SILVER MAPLE,30,3,90,,
5811,N,MAGNOLIA,305,1009,46,NORWAY MAPLE,15,4.5,68,,
5805,N,MAGNOLIA,305,,113,SILVER MAPLE,36,3,108,,
5735,N,MAGNOLIA,305,,99,SILVER MAPLE,32,3,96,WEST SIDEWALK ADJACENT TO 1223 VICTORIA,
5729,N,MAGNOLIA,305,,80,SILVER MAPLE,25,3,75,,
5713,N,MAGNOLIA,305,,76,SILVER MAPLE,24,3,72,,
5709,N,MAGNOLIA,305,,75,SILVER MAPLE,24,3,72,,
5705,N,MAGNOLIA,305,,83,SILVER MAPLE,26,3,78,,
5649,N,MAGNOLIA,305,,49,NORWAY MAPLE,16,4.5,72,,
5643,N,MAGNOLIA,305,,43,WHITE ASH,14,5,70,,
5830,N,MAGNOLIA,305,,85,HONEY LOCUST,27,3,81,,
5862,N,MAGNOLIA,305,,57,NORWAY MAPLE,18,4,72,,
5824,N,MAGNOLIA,305,,56,NORWAY MAPLE,18,4,72,,
5820,N,MAGNOLIA,305,,59,NORWAY MAPLE,19,4,76,,
5818,N,MAGNOLIA,305,,51,NORWAY MAPLE,16,4,64,,
5730,N,MAGNOLIA,305,,58,WHITE ASH,18,5,90,,
5726,N,MAGNOLIA,305,,75,LINDEN,24,3,72,,
5665,N,RIDGE,,,43,WHITE ASH,14,5,70,,
5681,N,RIDGE,,,50,WHITE ASH,16,5,80,,
5715,N,RIDGE,,,61,AMERICAN ELM,19,4,76,,
5787,N,RIDGE,,,80,AMERICAN ELM,25,4,100,,
1276,W,VICTORIA,,,42,WHITE ASH,13,5,65,,
1260,W,VICTORIA,,,43,NORWAY MAPLE,14,4.5,63,,
