ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
5824,N,MAGNOLIA,,,56,NORWAY MAPLE,18,4,72, 
5820,N,MAGNOLIA,,,59,NORWAY MAPLE,19,4,76, 
5818,N,MAGNOLIA,,,51,NORWAY MAPLE,16,4,64, 
5730,N,MAGNOLIA,,,58,WHITE ASH,18,5,90, 
5726,N,MAGNOLIA,,,75,LINDEN,24,3,72, 
5665,N,RIDGE,,,43,WHITE ASH,14,5,70, 
5681,N,RIDGE,,,50,WHITE ASH,16,5,80, 
5715,N,RIDGE,,,61,AMERICAN ELM,19,4,76, 
5787,N,RIDGE,,,80,AMERICAN ELM,25,4,100, 
1276,W,VICTORIA,,,42,WHITE ASH,13,5,65, 
1260,W,VICTORIA,,,43,NORWAY MAPLE,14,4.5,63, 
1256,W,VICTORIA,,,89,MULBERRY,28,2.3,64.4, 
1256,W,VICTORIA,,,86,SILVER MAPLE,27,3,81, 
1224,W,VICTORIA,,,85,WHITE ASH,27,5,135, 
1221,W,VICTORIA,,,79,SILVER MAPLE,25,3,75, 
1237,W,VICTORIA,,,72,SILVER MAPLE,23,3,69, 
1245,W,VICTORIA,,,94,SILVER MAPLE,30,3,90, 
1247,W,VICTORIA,,,120,SILVER MAPLE,38,3,114, 
1261,W,VICTORIA,,,58,NORWAY MAPLE,18,4.5,81, 
1265,W,VICTORIA,,,52,NORWAY MAPLE,17,4.5,76.5, 
1265,W,VICTORIA,,,59,WHITE ASH,19,5,95, 
1269,W,VICTORIA,,,72,HORSE CHESTNUT,23,8,184, 
1273,W,VICTORIA,,,50,NORWAY MAPLE,16,4.5,72, 
1275,W,VICTORIA,,,54,NORWAY MAPLE,17,4.5,76.5, 
1277,W,VICTORIA,,,63,HONEY LOCUST,20,3,60, 
1277,W,VICTORIA,,,55.5,WHITE ASH,18,5,90, 
5810,N,WAYNE,,,58,WHITE ASH,18,5,90, 
5812,N,WAYNE,,,61,WHITE ASH,19,5,95, 
5814,N,WAYNE,,,110,AMERICAN ELM,35,4,140, 
5826,N,WAYNE,,,63,NORWAY MAPLE,20,4.5,90,south parkway tree
5826,N,WAYNE,,,68,NORWAY MAPLE,22,4.5,99,north parkway tree
5832,N,WAYNE,,,136,HONEY LOCUST,43,3,129, 
5836,N,WAYNE,,,51,NORWAY MAPLE,16,4.5,72, 
5840,N,WAYNE,,,74,HONEY LOCUST,24,3,72,south parkway tree
5825,N,WAYNE,,,162,SILVER MAPLE,52,3,156, 
5815,N,WAYNE,,,60,NORWAY MAPLE,19,4.5,85.5,second tree north of door
5815,N,WAYNE,,,58,NORWAY MAPLE,18,4.5,81,firt tree north of door
5815,N,WAYNE,,,39,NORWAY MAPLE,12,4.5,54,first tree south of door
5815,N,WAYNE,,,60,NORWAY MAPLE,19,4.5,85.5,second tree south of door
1290,W,EARLY,,,65,NORWAY MAPLE,21,4.5,94.5,corner of Wayne & Early
1281,W,EARLY,,,58,SILVER MAPLE,18,3,54,SE corner Wayne & Early
1281,W,EARLY,,,106,SILVER MAPLE,34,3,102,across from alley entrance
1279,W,EARLY,,,67,HONEY LOCUST,21,3,63,rear of building on Wayne
5705,N,WAYNE,,,56,WHITE ASH,18,5,90, 
5710,N,WAYNE,,,45,NORWAY MAPLE,14,4.5,63,south parkway tree
5710,N,WAYNE,,,45,NORWAY MAPLE,14,4.5,63,north parkway tree
5720,N,WAYNE,,,79,SILVER MAPLE,25,3,75, 
5720,N,WAYNE,,,90,AMERICAN ELM,29,4,116, 
5722,N,WAYNE,,,103,SILVER MAPLE,33,3,99, 
5734,N,WAYNE,,,113,SILVER MAPLE,36,3,108, 

