ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE,
5818,N,Magnolia,305,,51,Norway Maple,16,4,64,,
5730,N,Magnolia,305,,58,White Ash,18,5,90,,
5726,N,Magnolia,305,,75,Linden,24,3,72,,
5665,N,Ridge,,,43,White Ash,14,5,70,,
5681,N,Ridge,,,50,White Ash,16,5,80,,
5715,N,Ridge,,,61,American Elm,19,4,76,,
5787,N,Ridge,,,80,American Elm,25,4,100,,
1276,W,Victoria,,,42,White Ash,13,5,65,,
1260,W,Victoria,,,43,Norway Maple,14,4.5,63,,
1256,W,Victoria,,,89,Mulberry,28,2.3,64,,
1256,W,Victoria,,,86,Silver Maple,27,3,81,,
1224,W,Victoria,,,85,White Ash,27,5,135,,
1221,W,Victoria,,,79,Silver Maple,25,3,75,,
1237,W,Victoria,,,72,Silver Maple,23,3,69,,
1245,W,Victoria,,,94,Silver Maple,30,3,90,,
1247,W,Victoria,,,120,Silver Maple,38,3,114,,
1261,W,Victoria,,,58,Norway Maple,18,4.5,81,,
1265,W,Victoria,,,52,Norway Maple,17,4.5,77,,
1265,W,Victoria,,,59,White Ash,19,5,95,,
1269,W,Victoria,,,72,Horse chestnut,23,8,184,,
1273,W,Victoria,,,50,Norway Maple,16,4.5,72,,
1275,W,Victoria,,,54,Norway Maple,17,4.5,77,,
1277,W,Victoria,,,63,Honey Locust,20,3,60,,
1277,W,Victoria,,,55.5,White Ash,18,5,90,,
5810,N,Wayne,,,58,White Ash,18,5,90,,
5812,N,Wayne,,,61,White Ash,19,5,95,,
5814,N,Wayne,,,110,American Elm,35,4,140,,
5826,N,Wayne,,,63,Norway Maple,20,4.5,90,south parkway tree,
5826,N,Wayne,,,68,Norway Maple,22,4.5,99,north parkway tree,
5832,N,Wayne,,,136,Honey Locust,43,3,129,,
5836,N,Wayne,,,51,Norway Maple,16,4.5,72,,
5840,N,Wayne,,,74,Honey Locust,24,3,72,south parkway tree,
5825,N,Wayne,,,162,Silver Maple,52,3,156,,
5815,N,Wayne,,,60,Norway Maple,19,4.5,86,second tree north of door,
5815,N,Wayne,,,58,Norway Maple,18,4.5,81,firt tree north of door,
5815,N,Wayne,,,39,Norway Maple,12,4.5,54,first tree south of door,
5815,N,Wayne,,,60,Norway Maple,19,4.5,86,second tree south of door,
1290,W,Early,,,65,Norway Maple,21,4.5,95,corner of Wayne & Early,
1281,W,Early,,,58,Silver Maple,18,3,54,SE corner Wayne & Early,
1281,W,Early,,,106,Silver Maple,34,3,102,across from alley entrance,
1279,W,Early,,,67,Honey Locust,21,3,63,rear of building on Wayne,
5705,N,Wayne,,,56,White Ash,18,5,90,,
5710,N,Wayne,,,45,Norway Maple,14,4.5,63,south parkway tree,
5710,N,Wayne,,,45,Norway Maple,14,4.5,63,north parkway tree,
5720,N,Wayne,,,79,Silver Maple,25,3,75,,
5720,N,Wayne,,,90,American Elm,29,4,116,,
5722,N,Wayne,,,103,Silver Maple,33,3,99,,
5734,N,Wayne,,,113,Silver Maple,36,3,108,,
